Wine Label;Winery;Variety;Area;Vineyard;Vintage;wine code;replicate;;;;;;;;;;;;
Laoudia 2020;Tselepos Winery;Assyrtiko;Santorini;Santorini;2020;56;a;;;;;;;;;;;;
Laoudia 2020;Tselepos Winery;Assyrtiko;Santorini;Santorini;2020;56;b;;;;;;;;;;;;
Laoudia 2020;Tselepos Winery;Assyrtiko;Santorini;Santorini;2020;56;c;;;;;;;;;;;;
Laoudia 2022;Tselepos Winery;Assyrtiko;Santorini;Santorini;2022;57;a;;;;;;;;;;;;
Laoudia 2022;Tselepos Winery;Assyrtiko;Santorini;Santorini;2022;57;b;;;;;;;;;;;;
Laoudia 2022;Tselepos Winery;Assyrtiko;Santorini;Santorini;2022;57;c;;;;;;;;;;;;
Assyrtiko;Nikolou Winery;Assyrtiko;Koropi;Korwpi;2023;58;a;;;;;;;;;;;;
Assyrtiko;Nikolou Winery;Assyrtiko;Koropi;Korwpi;2023;58;b;;;;;;;;;;;;
Assyrtiko;Nikolou Winery;Assyrtiko;Koropi;Korwpi;2023;58;c;;;;;;;;;;;;
Assyrtiko;T-OINOS' Winery;Assyrtiko;Tinos;Tinos;2023;59;a;;;;;;;;;;;;
Assyrtiko;T-OINOS' Winery;Assyrtiko;Tinos;Tinos;2023;59;b;;;;;;;;;;;;
Assyrtiko;T-OINOS' Winery;Assyrtiko;Tinos;Tinos;2023;59;c;;;;;;;;;;;;
Asyrtiko;MEGA SPHLAIO;Asyrtiko;ACHAIA;AIGIALEIA;2022;60;a;;;;;;;;;;;;
Asyrtiko;MEGA SPHLAIO;Asyrtiko;ACHAIA;AIGIALEIA;2022;60;b;;;;;;;;;;;;
Asyrtiko;MEGA SPHLAIO;Asyrtiko;ACHAIA;AIGIALEIA;2022;60;c;;;;;;;;;;;;
Sauvignon blanc;MEGA SPHLAIO;Sauvignon blanc;ACHAIA;AIGIALEIA;2023;61;a;;;;;;;;;;;;
Sauvignon blanc;MEGA SPHLAIO;Sauvignon blanc;ACHAIA;AIGIALEIA;2023;61;b;;;;;;;;;;;;
Sauvignon blanc;MEGA SPHLAIO;Sauvignon blanc;ACHAIA;AIGIALEIA;2023;61;c;;;;;;;;;;;;
Sauvignon blanc;MEGA SPHLAIO;Sauvignon blanc;ACHAIA;AIGIALEIA;2022;62;a;;;;;;;;;;;;
Sauvignon blanc;MEGA SPHLAIO;Sauvignon blanc;ACHAIA;AIGIALEIA;2022;62;b;;;;;;;;;;;;
Sauvignon blanc;MEGA SPHLAIO;Sauvignon blanc;ACHAIA;AIGIALEIA;2022;62;c;;;;;;;;;;;;
Syrah;MEGA SPHLAIO;Syrah;ACHAIA;AIGIALEIA;2022;63;a;;;;;;;;;;;;
Syrah;MEGA SPHLAIO;Syrah;ACHAIA;AIGIALEIA;2022;63;b;;;;;;;;;;;;
Syrah;MEGA SPHLAIO;Syrah;ACHAIA;AIGIALEIA;2022;63;c;;;;;;;;;;;;
no name;AUA;Xinomavro;Rapsani;Rapsani;2023;64;a;;;;;;;;;;;;
no name;AUA;Xinomavro;Rapsani;Rapsani;2023;64;b;;;;;;;;;;;;
no name;AUA;Xinomavro;Rapsani;Rapsani;2023;64;c;;;;;;;;;;;;
no name;Irakleio/  house wine;Sauvignon blanc;Irakleio;Hrakleio;2023;65;a;;;;;;;;;;;;
no name;Irakleio/  house wine;Sauvignon blanc;Irakleio;Hrakleio;2023;65;b;;;;;;;;;;;;
no name;Irakleio/  house wine;Sauvignon blanc;Irakleio;Hrakleio;2023;65;c;;;;;;;;;;;;
no name;Irakleio/  house wine;Syrah;Irakleio;Hrakleio;2021;66;a;;;;;;;;;;;;
no name;Irakleio/  house wine;Syrah;Irakleio;Hrakleio;2021;66;b;;;;;;;;;;;;
no name;Irakleio/  house wine;Syrah;Irakleio;Hrakleio;2021;66;c;;;;;;;;;;;;
